light,temp
960,56.13
960,57.87
956,56.13
956,56.56
962,56.71
962,56.56
958,56.56
955,56.56
962,57.29
964,57.14
954,56.71
958,55.98
962,56.71
961,56.13
955,55.55
954,56.56
962,57.14
962,56.13
955,56.42
959,55.98
960,57.0
961,56.42
956,56.13
958,57.14
961,56.27
961,56.13
957,55.55
955,56.13
963,56.71
963,57.29
953,56.71
954,57.72
960,55.84
962,56.42
955,55.40
954,56.56
961,56.71
963,57.14
956,56.71
953,57.14
960,56.71
962,57.14
958,56.71
955,55.55
961,55.55
962,57.43
954,58.30
954,56.71
961,55.98
961,54.97
957,55.55
955,55.98
963,56.13
961,55.55
955,56.13
954,56.56
962,56.71
962,56.27
955,55.98
954,56.42
961,56.71
962,57.72
960,57.14
956,56.71
961,56.56
960,57.14
953,55.55
956,56.71
963,57.14
962,56.71
953,55.98
955,56.71
961,55.55
962,56.13
958,57.43
954,56.71
963,55.40
961,56.42
956,56.71
958,56.71
962,56.27
963,56.71
956,56.71
956,57.29
963,56.71
962,58.45
955,56.56
951,55.98
963,56.71
960,56.42
953,56.27
958,56.56
962,56.13
962,57.72
956,56.71
954,55.98
961,56.71
959,56.71
956,56.56
958,56.71
962,57.14
961,56.71
954,56.71
956,56.13
962,56.71
962,57.14
955,56.71
953,55.26
961,55.98
960,56.13
954,56.56
954,56.56
962,55.40
962,56.71
955,56.13
957,55.26
961,56.56
957,56.56
953,56.71
958,56.71
962,57.14
960,56.56
956,56.71
955,55.98
962,56.56
959,55.84
952,57.14
956,54.39
963,55.55
960,57.29
954,54.10
959,56.56
962,56.13
960,57.14
954,56.42
956,56.42
962,56.13
959,55.40
955,55.55
957,55.55
962,55.11
960,57.58
955,57.29
955,55.40
962,56.56
962,56.13
954,55.55
956,57.14
962,56.71
959,56.13
956,57.29
956,58.1
961,57.14
962,57.14
956,57.43
956,56.42
961,55.40
962,57.14
954,57.29
959,56.85
966,57.0
959,56.71
957,56.42
957,59.61
961,56.42
961,57.72
954,57.14
955,56.13
961,55.98
957,55.55
953,57.14
959,56.71
960,56.71
958,56.71
954,56.71
956,55.98
961,56.13
963,56.13
955,56.71
958,57.43
962,55.98
958,55.40
951,55.55
956,56.56
962,56.56
960,56.13
955,56.71
959,55.55
960,56.71
959,57.58
954,56.56
960,56.71
966,57.58
958,56.13
953,55.26
957,56.71
963,55.98
959,56.13
954,57.29
958,57.14
961,56.42
959,55.84
955,56.27
955,56.71
963,56.42
960,57.29
954,57.29
959,56.56
961,56.56
958,53.81
953,56.71
958,56.56
963,56.71
959,55.55
955,56.56
957,57.29
962,56.71
958,55.98
951,57.14
959,56.13
963,55.55
957,56.27
953,54.39
956,56.13
960,55.55
956,58.30
954,57.72
959,55.55
963,54.97
957,57.43
952,56.71
958,56.56
961,56.56
956,57.29
954,57.29
959,55.98
964,56.56
960,55.55
954,57.87
960,57.72
963,57.29
957,56.71
954,55.55
957,56.42
962,56.56
958,56.13
954,56.56
959,55.55
963,56.71
958,55.55
953,57.29
958,56.71
964,56.71
959,55.55
953,55.98
957,56.56
962,56.56
958,56.71
954,56.13
959,57.0
962,56.13
960,56.71
952,57.58
957,55.55
964,56.13
956,56.13
955,57.29
958,56.56
964,57.14
959,56.56
954,57.58
958,56.71
962,56.56
958,55.55
953,57.29
957,55.84
961,56.27
957,56.13
953,56.56
959,54.24
962,57.87
958,58.45
956,57.43
960,55.26
961,55.55
958,57.72
954,57.87
958,55.55
962,56.13
958,56.42
953,56.13
958,56.85
963,57.29
959,55.40
954,57.14
960,55.98
962,55.55
959,56.13
955,55.55
960,57.29
963,56.71
959,57.87
958,57.29
958,57.29
966,57.72
959,56.42
954,56.13
957,55.55
963,57.29
958,56.71
955,56.71
959,56.56
960,56.71
954,56.42
953,56.71
959,55.55
962,57.43
957,57.29
953,57.14
958,55.55
963,55.98
957,57.58
952,56.71
959,56.71
963,56.71
954,57.58
953,57.29
957,57.29
961,55.55
956,56.13
958,56.27
959,55.55
963,56.56
955,56.13
954,55.26
959,57.14
963,56.42
956,55.40
954,56.71
959,56.42
966,56.56
957,55.55
956,56.71
957,56.56
963,56.13
957,56.13
955,56.71
960,56.56
963,57.29
956,57.72
958,57.58
960,56.27
961,56.27
956,57.72
957,56.13
962,57.14
965,56.56
956,56.42
951,56.13
959,56.56
963,55.98
956,56.13
956,57.29
960,56.71
966,56.71
956,55.26
955,56.71
960,56.71
962,56.13
958,57.58
949,56.56
961,56.13
962,56.71
957,56.71
955,56.71
960,57.14
963,56.71
957,56.13
956,56.71
962,55.40
963,56.56
958,57.87
956,57.87
962,57.72
963,56.71
955,56.13
953,55.55
960,54.97
964,56.71
955,54.82
955,57.72
960,56.42
963,55.98
955,55.55
954,56.71
960,55.55
962,56.71
954,56.56
956,57.0
961,56.56
964,56.56
958,56.56
958,56.56
957,56.13
963,56.42
955,56.13
955,56.56
963,56.13
962,56.71
955,56.56
953,56.13
960,55.55
963,56.56
957,57.14
954,55.55
966,56.56
964,56.71
957,57.58
956,55.55
961,55.55
962,57.29
957,55.98
956,55.98
960,56.56
963,57.14
958,56.71
957,56.56
960,57.14
963,56.71
954,57.58
955,57.29
963,55.55
962,57.29
958,57.58
956,56.56
962,56.71
965,57.58
956,55.84
955,56.27
960,55.40
962,56.13
958,56.56
958,57.72
961,56.71
961,56.71
956,57.29
956,55.55
964,56.13
964,57.43
954,56.71
956,56.13
961,56.71
963,56.56
955,56.13
956,57.14
961,56.27
962,56.71
957,56.71
956,57.29
963,56.56
963,55.98
956,55.55
958,57.43
964,56.71
961,56.13
952,56.71
955,57.14
962,56.56
962,56.27
955,56.13
956,56.56
963,56.71
961,56.13
958,56.13
954,57.87
962,57.0
962,57.14
953,57.43
956,55.98
961,56.56
963,55.55
955,57.29
959,55.55
964,56.56
960,55.98
956,56.56
955,55.55
962,56.42
962,56.27
956,56.13
957,55.55
960,56.56
960,54.24
955,57.43
958,56.71
961,56.71
961,56.71
955,56.13
958,55.55
960,56.56
960,56.56
956,55.55
958,56.71
961,56.56
963,56.13
956,56.13
958,57.72
962,54.97
961,55.98
954,57.14
955,57.43
964,56.56
960,56.71
958,56.13
958,57.29
963,56.27
962,56.27
953,56.71
956,56.42
966,56.56
964,57.29
954,54.39
958,55.98
968,57.14
962,56.71
954,57.87
954,56.56
961,55.40
960,56.56
955,56.71
959,56.71
963,56.56
960,57.14
955,57.29
958,57.29
962,57.29
960,55.84
955,55.98
958,57.29
962,57.14
962,57.72
952,57.29
957,56.71
962,56.56
959,56.27
955,57.72
955,56.56
962,56.56
959,56.13
954,57.72
955,56.42
961,56.13
957,55.40
957,56.71
958,56.71
962,56.13
958,56.27
953,55.40
957,56.56
962,55.98
960,56.71
955,57.87
958,56.71
960,55.98
960,56.27
955,55.98
955,55.98
960,56.71
957,56.42
955,56.13
954,56.71
960,56.13
960,56.13
951,57.87
955,55.55
962,56.71
958,56.56
954,55.55
956,55.98
963,56.27
957,56.71
951,57.87
953,55.55
964,57.29
959,57.14
955,56.71
956,55.55
963,56.42
954,56.13
955,55.55
958,57.43
960,56.71
958,55.40
948,56.71
952,56.56
954,55.98
944,56.71
932,55.55
921,56.56
915,55.55
901,56.42
886,56.71
886,56.71
888,56.56
882,57.29
878,56.71
874,56.13
880,56.56
879,56.56
871,55.55
871,56.13
