 48 
2106 ,  50 .  47 
2139 ,  51 .  48 
2122 ,  50 .  90 
2090 ,  52 .   6 
2121 ,  51 .  48 
2113 ,  51 .  48 
2060 ,  51 .  48 
2042 ,  52 .  50 
2106 ,  52 .   6 
2135 ,  50 .  61 
2117 ,  51 .  92 
2086 ,  51 .  34 
2119 ,  51 .  92 
2113 ,  52 .   6 
2062 ,  52 .   6 
2041 ,  50 .  90 
2108 ,  51 .  77 
2137 ,  51 .  48 
2114 ,  51 .  48 
2086 ,  50 .  90 
2119 ,  52 .   6 
2112 ,  51 .  48 
2058 ,  50 .  76 
2042 ,  52 .   6 
2107 ,  52 .   6 
2135 ,  50 .  76 
2113 ,  50 .  32 
2088 ,  51 .  34 
2119 ,  50 .  61 
2110 ,  50 .  90 
2056 ,  50 .  90 
2044 ,  50 .  76 
2108 ,  50 .  61 
2135 ,  51 .  34 
2113 ,  51 .  92 
2088 ,  52 .   6 
2118 ,  50 .  90 
2108 ,  50 .  32 
2056 ,  50 .  76 
2044 ,  51 .  77 
2109 ,  49 .  74 
2136 ,  50 .  61 
2111 ,  50 .  90 
2087 ,  51 .  48 
2117 ,  50 .  76 
2105 ,  50 .  47 
2054 ,  52 .  50 
2048 ,  50 .  90 
2109 ,  51 .  63 
2138 ,  51 .  34 
2109 ,  51 .  48 
2088 ,  50 .  90 
2120 ,  51 .  48 
2108 ,  50 .  76 
2045 ,  50 .  90 
2048 ,  51 .  92 
2110 ,  50 .  90 
2134 ,  50 .  18 
2110 ,  51 .  92 
2090 ,  52 .   6 
2120 ,  50 .  18 
2109 ,  52 .   6 
2048 ,  50 .  61 
2051 ,  51 .  48 
2112 ,  50 .  76 
2139 ,  51 .  34 
2109 ,  50 .  61 
2093 ,  51 .  34 
2121 ,  51 .  34 
2109 ,  51 .  48 
2048 ,  50 .  76 
2056 ,  50 .  90 
2115 ,  50 .  76 
2137 ,  49 .  74 
2110 ,  51 .  92 
2094 ,  52 .  35 
2123 ,  51 .  48 
2108 ,  50 .  76 
2048 ,  50 .  76 
2054 ,  50 .  76 
2113 ,  49 .  74 
2137 ,  51 .  48 
2106 ,  51 .  48 
2094 ,  52 .   6 
2122 ,  50 .  47 
2107 ,  51 .  48 
2048 ,  50 .  32 
2053 ,  50 .  32 
2116 ,  51 .  92 
2138 ,  51 .  63 
2105 ,  50 .  32 
2093 ,  50 .  32 
2122 ,  50 .  90 
2105 ,  51 .  48 
2044 ,  51 .  92 
2053 ,  50 .  32 
2116 ,  51 .  92 
2136 ,  52 .  35 
2102 ,  50 .  90 
2093 ,  51 .  34 
2122 ,  51 .  92 
2103 ,  51 .  92 
2041 ,  51 .  77 
2059 ,  50 .  90 
2117 ,  51 .  92 
2138 ,  51 .  34 
2104 ,  50 .  76 
2096 ,  50 .  90 
2122 ,  51 .  92 
2106 ,  51 .  48 
2044 ,  52 .   6 
2062 ,  51 .  92 
2119 ,  50 .  90 
2140 ,  49 .  74 
2105 ,  50 .  76 
2098 ,  51 .  63 
2124 ,  51 .  77 
2104 ,  51 .  92 
2038 ,  50 .  90 
2060 ,  50 .  90 
2122 ,  52 .   6 
2138 ,  50 .  76 
2104 ,  51 .  48 
2098 ,  49 .  74 
2125 ,  50 .  90 
2103 ,  50 .  32 
2040 ,  50 .  76 
2061 ,  51 .  92 
2122 ,  51 .  48 
2142 ,  52 .   6 
2101 ,  50 .  61 
2099 ,  51 .  92 
2124 ,  52 .   6 
2101 ,  50 .  32 
2035 ,  51 .  48 
2061 ,  50 .  76 
2122 ,  51 .  92 
2138 ,  52 .   6 
2101 ,  51 .  63 
2104 ,  50 .  90 
2136 ,  51 .  19 
2117 ,  50 .  61 
2071 ,  51 .  48 
2107 ,  51 .  92 
2174 ,  51 .  63 
2196 ,  51 .  48 
2168 ,  50 .  32 
2177 ,  50 .  47 
2205 ,  49 .  74 
2186 ,  50 .  90 
2127 ,  50 .  61 
2162 ,  50 .  32 
2219 ,  50 .  90 
2232 ,  50 .  90 
2197 ,  51 .  77 
2200 ,  50 .  76 
2234 ,  50 .  61 
2222 ,  51 .  77 
2179 ,  51 .  34 
2225 ,  51 .  63 
2289 ,  51 .  48 
2304 ,  50 .  90 
2283 ,  52 .  50 
2307 ,  51 .  19 
2337 ,  51 .  48 
2320 ,  51 .  63 
2279 ,  49 .  74 
2322 ,  50 .  90 
2382 ,  50 .  76 
2408 ,  50 .  32 
2389 ,  50 .  18 
2402 ,  51 .  77 
2420 ,  51 .  34 
2398 ,  50 .  18 
2348 ,  50 .  32 
2380 ,  50 .  18 
2426 ,  49 .  74 
2434 ,  49 .  16 
2410 ,  50 .  18 
2424 ,  50 .  61 
2439 ,  49 .   2 
2406 ,  50 .  61 
2333 ,  49 .  74 
2360 ,  51 .  34 
2401 ,  51 .  92 
2411 ,  49 .  31 
2391 ,  51 .  19 
2420 ,  50 .  76 
2458 ,  50 .  90 
2456 ,  48 .  87 
2425 ,  51 .  48 
2466 ,  49 .  89 
2507 ,  49 .  74 
2514 ,  49 .  16 
2483 ,  50 .  18 
2489 ,  50 .  90 
2501 ,  49 .  74 
2476 ,  49 .  89 
2428 ,  50 .  76 
2453 ,  50 .  61 
2487 ,  49 .  45 
2486 ,  50 .  61 
2457 ,  49 .  74 
2470 ,  50 .  18 
2482 ,  49 .  74 
2460 ,  50 .  32 
2415 ,  50 .  90 
2452 ,  50 .  61 
2487 ,  49 .  74 
2494 ,  50 .  76 
2468 ,  49 .  74 
2473 ,  50 .  61 
2491 ,  50 .  47 
2472 ,  50 .  32 
2440 ,  49 .  16 
2477 ,  49 .  74 
2509 ,  49 .  74 
2515 ,  50 .  90 
2485 ,  49 .  74 
2497 ,  50 .  32 
2515 ,  50 .  32 
2491 ,  48 .  87 
2453 ,  49 .  45 
2490 ,  50 .  90 
2523 ,  49 .  74 
2523 ,  50 .  18 
2498 ,  49 .  60 
2509 ,  49 .  16 
2526 ,  49 .  60 
2501 ,  49 .  45 
2465 ,  49 .  16 
2504 ,  50 .  18 
2534 ,  49 .  74 
2536 ,  49 .  74 
2501 ,  49 .  16 
2513 ,  49 .  74 
2526 ,  50 .  76 
2503 ,  49 .  31 
2465 ,  49 .  74 
2501 ,  50 .  32 
2532 ,  50 .   3 
2533 ,  48 .  58 
2503 ,  49 .  16 
2520 ,  49 .  60 
2533 ,  50 .  90 
2510 ,  50 .  32 
2479 ,  50 .  90 
2515 ,  49 .  74 
2545 ,  50 .  61 
2546 ,  49 .  74 
2517 ,  48 .  87 
2532 ,  50 .  76 
2546 ,  49 .  74 
2524 ,  49 .   2 
2497 ,  50 .  32 
2532 ,  50 .  90 
2568 ,  50 .  90 
2570 ,  48 .  87 
2545 ,  49 .  74 
2565 ,  50 .  76 
2580 ,  50 .  90 
2560 ,  49 .  45 
2536 ,  49 .  16 
2574 ,  49 .  60 
2603 ,  49 .  16 
2603 ,  49 .   2 
2577 ,  49 .  45 
2590 ,  49 .   2 
2596 ,  48 .  58 
2580 ,  50 .  32 
2549 ,  50 .  18 
2581 ,  50 .  47 
2610 ,  50 .  32 
2609 ,  51 .  48 
2577 ,  49 .  60 
2593 ,  49 .  31 
2600 ,  49 .  74 
2576 ,  46 .  26 
2545 ,  49 .  45 
2582 ,  50 .  90 
2609 ,  50 .  76 
2607 ,  49 .  74 
2579 ,  49 .  74 
2592 ,  49 .  16 
2597 ,  49 .  16 
2576 ,  49 .  60 
2549 ,  49 .  16 
2587 ,  49 .  74 
2615 ,  50 .  90 
2611 ,  49 .  74 
