,  35 .  10 
1932 ,  34 .  23 
1932 ,  34 .  52 
1931 ,  34 .  52 
1932 ,  34 .   8 
1933 ,  33 .  94 
1932 ,  34 .  37 
1930 ,  33 .  21 
1932 ,  34 .  81 
1934 ,  33 .  36 
1933 ,  34 .  52 
1932 ,  34 .  37 
1932 ,  34 .  52 
1933 ,  33 .   7 
1932 ,  34 .  95 
1931 ,  34 .  52 
1935 ,  34 .  81 
1932 ,  34 .  52 
1931 ,  33 .  36 
1932 ,  34 .  37 
1933 ,  34 .  23 
1932 ,  35 .  82 
1932 ,  34 .  52 
1933 ,  34 .  23 
1931 ,  33 .  50 
1930 ,  34 .  52 
1932 ,  36 .  55 
1931 ,  34 .  81 
1932 ,  31 .  62 
1932 ,  33 .  94 
1934 ,  34 .  52 
1931 ,  34 .   8 
1932 ,  33 .  50 
1931 ,  32 .  20 
1934 ,  33 .  36 
1929 ,  34 .  66 
1933 ,  33 .  36 
1932 ,  32 .  78 
1934 ,  34 .  23 
1931 ,  35 .  10 
1934 ,  33 .  50 
1932 ,  33 .  50 
1932 ,  33 .  50 
1930 ,  34 .  52 
1932 ,  33 .  50 
1933 ,  33 .   7 
1934 ,  34 .  23 
1931 ,  33 .  94 
1934 ,  33 .  50 
1933 ,  33 .  50 
1934 ,  33 .  36 
1934 ,  34 .  81 
1933 ,  33 .  50 
1933 ,  33 .  94 
1933 ,  34 .  52 
1932 ,  34 .  23 
1933 ,  33 .  50 
1934 ,  34 .  52 
1934 ,  34 .  81 
1929 ,  33 .  50 
1933 ,  35 .  10 
1932 ,  34 .  37 
1929 ,  33 .  50 
1930 ,  34 .  52 
1932 ,  34 .  52 
1933 ,  33 .  50 
1935 ,  33 .  94 
1932 ,  34 .  52 
1934 ,  34 .   8 
1933 ,  33 .  50 
1933 ,  34 .  52 
1929 ,  34 .   8 
1932 ,  33 .  94 
1933 ,  33 .  50 
1933 ,  34 .  23 
1933 ,  33 .   7 
1932 ,  34 .  81 
1934 ,  34 .  52 
1930 ,  33 .  50 
1931 ,  34 .  66 
1933 ,  34 .   8 
1933 ,  33 .  94 
1934 ,  35 .  68 
1931 ,  34 .  81 
1933 ,  33 .  94 
1935 ,  34 .   8 
1934 ,  34 .  81 
1931 ,  34 .  52 
1931 ,  34 .   8 
1934 ,  33 .  50 
1934 ,  34 .  81 
1931 ,  34 .  52 
1933 ,  34 .  23 
1936 ,  34 .  23 
1930 ,  34 .  66 
1929 ,  34 .  52 
1932 ,  34 .  52 
1932 ,  34 .  23 
1932 ,  33 .  50 
1932 ,  34 .  37 
1934 ,  34 .  81 
1923 ,  34 .  81 
1928 ,  34 .  23 
1925 ,  34 .  81 
1934 ,  34 .  52 
1933 ,  34 .  52 
1930 ,  33 .  94 
1931 ,  34 .  81 
1932 ,  33 .  94 
1932 ,  34 .  66 
1933 ,  34 .  81 
1930 ,  34 .  23 
1934 ,  35 .  39 
1934 ,  34 .  23 
1930 ,  35 .  10 
1930 ,  33 .  94 
1930 ,  33 .  94 
1929 ,  34 .  66 
1932 ,  34 .  66 
1931 ,  33 .  94 
1932 ,  34 .  23 
1930 ,  34 .   8 
1934 ,  35 .  68 
1930 ,  34 .  81 
1932 ,  34 .  52 
1932 ,  34 .  52 
1931 ,  35 .  10 
1929 ,  34 .  66 
1929 ,  34 .   8 
1932 ,  34 .  52 
1931 ,  34 .  66 
1930 ,  34 .  81 
1934 ,  34 .  81 
1932 ,  34 .  52 
1932 ,  35 .  68 
1929 ,  34 .   8 
1932 ,  34 .  81 
1931 ,  34 .   8 
1932 ,  34 .  95 
1930 ,  34 .  66 
1931 ,  35 .  10 
1931 ,  35 .  39 
1934 ,  34 .  81 
1929 ,  34 .  52 
1933 ,  35 .  24 
1932 ,  34 .  52 
1929 ,  34 .  23 
1930 ,  34 .  52 
1933 ,  34 .  23 
1933 ,  34 .   8 
1934 ,  34 .   8 
1932 ,  33 .  94 
1932 ,  34 .  52 
1931 ,  35 .  10 
1932 ,  34 .  81 
1930 ,  33 .  94 
1932 ,  33 .  50 
1929 ,  33 .  50 
1930 ,  33 .   7 
1934 ,  33 .  36 
1930 ,  33 .  50 
1932 ,  32 .  92 
1930 ,  35 .  68 
1931 ,  33 .  50 
1932 ,  33 .  50 
1932 ,  33 .  36 
1932 ,  33 .  50 
1931 ,  34 .  23 
1934 ,  33 .  36 
1932 ,  34 .  52 
1931 ,  33 .  94 
1929 ,  33 .  50 
1932 ,  33 .  50 
1934 ,  34 .  52 
1930 ,  34 .  52 
1931 ,  33 .  50 
1931 ,  33 .  94 
1930 ,  34 .   8 
1932 ,  34 .  52 
1929 ,  35 .  10 
1931 ,  34 .  81 
1932 ,  34 .   8 
1930 ,  34 .  37 
1929 ,  34 .   8 
1934 ,  34 .  81 
1930 ,  34 .   8 
1932 ,  33 .  94 
1931 ,  35 .  24 
1932 ,  34 .   8 
1930 ,  34 .  66 
1933 ,  33 .  94 
1930 ,  35 .  10 
1930 ,  34 .  81 
1930 ,  34 .   8 
1932 ,  34 .  81 
1933 ,  35 .  10 
1932 ,  33 .  94 
1929 ,  33 .  50 
1932 ,  34 .  23 
1931 ,  32 .  92 
1932 ,  34 .  52 
1935 ,  34 .  81 
1929 ,  35 .  10 
1928 ,  33 .  50 
1932 ,  34 .  52 
1932 ,  34 .  52 
1931 ,  33 .  94 
1929 ,  33 .  36 
1934 ,  34 .  81 
1930 ,  34 .  81 
1930 ,  35 .  10 
1930 ,  34 .  52 
1930 ,  35 .  10 
1930 ,  34 .  81 
1936 ,  34 .  66 
1929 ,  34 .  66 
1929 ,  34 .  52 
1931 ,  34 .  52 
1929 ,  34 .  95 
1930 ,  34 .  23 
1932 ,  34 .  95 
1924 ,  35 .  10 
1916 ,  34 .  81 
1929 ,  35 .  10 
1932 ,  35 .  10 
1930 ,  35 .  68 
1933 ,  35 .  10 
1930 ,  34 .  52 
1934 ,  35 .  10 
1934 ,  35 .  10 
1931 ,  34 .   8 
1929 ,  33 .  36 
1930 ,  35 .  10 
1931 ,  33 .  50 
1931 ,  34 .  81 
1929 ,  34 .  23 
1932 ,  34 .  81 
1932 ,  34 .  81 
1931 ,  34 .  52 
1927 ,  34 .  81 
1931 ,  34 .  81 
1933 ,  35 .  10 
1931 ,  34 .  52 
1930 ,  34 .  81 
1931 ,  34 .  52 
1930 ,  34 .  23 
1929 ,  34 .  66 
1929 ,  34 .  66 
1931 ,  34 .  37 
1932 ,  34 .  52 
1931 ,  34 .  23 
1931 ,  34 .   8 
1932 ,  35 .  39 
1934 ,  34 .  52 
1934 ,  35 .  10 
1931 ,  34 .  23 
1934 ,  34 .  81 
1929 ,  34 .  81 
1931 ,  34 .  81 
1931 ,  35 .  24 
1932 ,  34 .   8 
1931 ,  35 .  10 
1932 ,  35 .  39 
1934 ,  35 .  10 
1930 ,  35 .  10 
1934 ,  36 .  98 
1929 ,  34 .  66 
1931 ,  35 .  24 
1930 ,  34 .  66 
1930 ,  34 .   8 
1931 ,  33 .  94 
1929 ,  34 .  66 
1929 ,  34 .  66 
1932 ,  35 .  82 
1931 ,  33 .  36 
1933 ,  34 .  52 
1930 ,  33 .  65 
1931 ,  33 .  94 
1930 ,  33 .  36 
1931 ,  33 .   7 
1932 ,  34 .  81 
1932 ,  33 .  36 
1929 ,  33 .  36 
1930 ,  33 .  50 
1932 ,  34 .   8 
1931 ,  33 .  50 
1931 ,  34 .  52 
1930 ,  35 .  68 
1931 ,  34 .  23 
1932 ,  34 .  52 
1931 ,  34 .  23 
1934 ,  34 .  52 
1932 ,  34 .  23 
1930 ,  34 .  52 
1931 ,  34 .  52 
1931 ,  34 .  23 
1931 ,  34 .  23 
1932 ,  34 .  23 
1930 ,  34 .  23 
1932 ,  34 .  52 
1934 ,  34 .  81 
1929 ,  34 .  66 
1929 ,  33 .  50 
1925 ,  34 .   8 
1932 ,  34 .  52 
1930 ,  34 .  81 
1929 ,  33 .  36 
1930 ,  34 .  81 
1932 ,  34 .  66 
1929 ,  34 .   8 
1929 ,  33 .  94 
1930 ,  33 .  94 
1932 ,  35 .  10 
1930 ,  34 .  81 
1929 ,  34 .  66 
1930 ,  33 .  50 
1930 ,  34 .  81 
1934 ,  34 .  81 
1933 ,  34 .  23 
1935 ,  34 .   8 
1933 ,  34 .  52 
1933 ,  34 .  81 
1935 ,  34 .  81 
1929 ,  35 .  39 
1935 ,  33 .  50 
1935 ,  34 .  81 
1936 ,  34 .  81 
1935 ,  33 .   7 
1937 ,  35 .  10 
1937 ,  34 .  66 
1937 ,  35 .  39 
1938 ,  34 .  81 
1939 ,  35 .  10 
1938 ,  35 .  24 
1936 ,  34 .  66 
1937 ,  34 .  66 
1936 ,  35 .  10 
1938 ,  34 .  66 
1941 ,  35 .  53 
1940 ,  35 .  10 
1941 ,  35 .  10 
1943 ,  34 .  52 
1948 ,  34 .  52 
1936 ,  34 .  23 
1945 ,  33 .  94 
1944 ,  34 .  66 
1944 ,  34 .  81 
1941 ,  34 .  52 
1943 ,  34 .  52 
1949 ,  34 .  52 
1949 ,  34 .  23 
1947 ,  35 .  24 
1948 ,  33 .  50 
1950 ,  34 .  23 
1950 ,  34 .  95 
1950 ,  34 .   8 
1950 ,  34 .  52 
1949 ,  34 .  37 
1950 ,  34 .  52 
1948 ,  34 .  52 
1949 ,  35 .  53 
1952 ,  34 .  52 
1952 ,  34 .  81 
1953 ,  35 .  10 
1954 ,  34 .  52 
1956 ,  35 .  24 
1959 ,  35 .  10 
1968 ,  35 .  10 
1972 ,  35 .  39 
1970 ,  35 .  39 
1979 ,  35 .  68 
1986 ,  35 .  39 
2001 ,  34 .  81 
2014 ,  35 .  39 
2008 ,  36 .  26 
1998 ,  36 .  26 
1998 ,  35 .  68 
1999 ,  35 .  82 
2000 ,  36 .  40 
1997 ,  35 .  68 
1997 ,  35 .  39 
1998 ,  35 .  68 
1996 ,  35 .  39 
1999 ,  36 .  55 
1999 ,  35 .  68 
